Student Id,Quiz_1,Midterm_1,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories
86,3.45,8.56,3.23,2.89,3.45,6.12,6.78,36,70.48,B+,Distinction
87,9.01,5.32,2.98,4.01,2.89,9.01,8.12,39,80.34,A,Excellent
88,4.89,12.01,4.01,3.23,4.01,5.67,7.34,36,77.16,A-,Distinction
89,7.23,7.89,2.67,2.67,2.32,8.34,9.01,31,71.13,B+,Distinction
90,3.76,9.45,3.56,3.45,3.78,6.78,6.89,30,67.67,B,Distinction
91,8.01,11.76,4.32,4.56,2.54,9.45,8.45,23,72.09,B+,Distinction
92,4.56,5.89,2.1,2.98,4.56,5.21,7.56,26,58.86,C+,Pass
93,6.12,14.32,3.01,3.12,2.1,7.56,9.45,28,73.68,B+,Distinction
94,3.98,7.23,4.45,4.32,3.01,6.23,6.45,34,69.67,B,Distinction
95,9.45,10.98,2.32,2.1,4.32,8.9,8.9,36,82.97,A,Excellent
96,5.67,6.45,3.89,3.56,2.98,5.98,7.12,34,69.65,B,Distinction
97,7.89,13.12,4.56,4.01,3.56,7.12,9.67,36,85.93,A,Excellent
98,4.32,8.34,2.87,2.43,4.45,6.45,6.56,31,66.42,B,Distinction
99,6.01,5.67,3.12,3.89,2.43,9.34,8.23,37,75.69,A-,Distinction
100,9.5,14.8,3.3,4.2,4.3,7.34,8.56,39,91,A+,Exceptional
101,9.13,12.56,4.7,3.23,4.34,8.34,9.56,39,90.86,A+,Exceptional
102,8.75,14.56,3.3,4.23,4.74,8.34,9.56,37,90.48,A+,Exceptional
103,9.23,13.56,4.3,4.67,4.67,8.76,9.56,36,90.75,A+,Exceptional
104,9.03,14.56,2.3,4.12,4.5,8.98,9.56,39,92.05,A+,Exceptional
105,8.56,13.56,4.3,3.23,4.09,9.34,9.56,38,90.64,A+,Exceptional
106,3.21,12.45,4.01,4.45,3.23,5.32,7.78,36,76.45,A-,Distinction
107,8.9,6.01,2.54,2.76,4.01,8.01,9.34,37,78.57,A-,Distinction
108,5.09,14.09,3.45,3.01,2.76,6.67,6.01,32,73.08,B+,Distinction
109,7.56,9.87,4.09,4.23,3.89,9.12,8.67,33,80.43,A,Excellent
110,3.1,11.34,2.76,2.32,4.23,5.89,7.23,34,70.87,B+,Distinction
111,9.34,5.21,3.78,3.67,2.87,8.45,9.12,38,80.44,A,Excellent
112,5.43,13.78,4.21,4.56,3.12,6.01,6.34,36,79.45,A-,Distinction
113,6.45,7.56,2.98,2.21,4.01,7.78,8.01,31,70,B+,Distinction
114,3.87,10.67,3.56,3.78,2.32,5.56,7.01,32,68.77,B,Distinction
115,8.21,6.89,4.32,4.01,3.45,8.23,9.56,36,80.67,A,Excellent
116,4.01,14.54,2.43,2.87,4.56,6.34,6.12,35,75.87,A-,Distinction
117,7.34,8.01,3.1,3.34,2.21,9.67,8.78,37,79.45,A-,Distinction
118,3.56,11.23,4.65,4.09,3.67,5.1,7.45,33,72.75,B+,Distinction
119,9.12,5.43,2.21,2.65,4.09,7.23,9.89,31,71.62,B+,Distinction
120,5.78,12.56,3.34,3.12,2.98,6.89,6.67,32,73.34,B+,Distinction
121,6.89,7.12,4.56,4.32,3.12,8.56,8.34,36,78.91,A-,Distinction
122,3.23,10.12,2.89,2.98,4.32,5.78,7.67,37,73.99,B+,Distinction
123,8.45,6.34,3.67,3.45,2.65,7.34,9.78,31,72.68,B+,Distinction
124,4.78,14.76,4.23,4.12,3.56,6.45,6.23,32,76.13,A-,Distinction
125,7.67,8.9,2.01,2.01,4.45,9.89,8.45,36,79.38,A-,Distinction
126,9.32,13.56,2.3,4.18,4.5,8.98,9.97,38,90.81,A+,Exceptional
127,8.87,12.56,4.89,4.12,3.5,9.74,8.56,39,91.24,A+,Exceptional
128,8.34,14.56,3.99,3.87,4.5,8.98,9.56,37,90.8,A+,Exceptional
129,9.11,13.56,3.45,4.12,4.5,8.98,8.56,38,90.28,A+,Exceptional
130,8.98,14.56,2.3,4.45,4.77,8.98,9.56,37,90.6,A+,Exceptional
131,9.09,13.56,4.3,4.09,4.5,8.34,8.56,38,90.44,A+,Exceptional
132,9.03,14.67,2.99,4.67,4.5,7.99,9.56,37,90.41,A+,Exceptional
133,9.45,14.78,3.3,4.56,3.5,8.98,8.56,39,92.13,A+,Exceptional
134,9.89,14.96,4.3,4.45,4.89,9.98,9.56,37,95.03,A+,Exceptional
135,9.89,14.96,4.3,4.45,4.89,9.98,9.56,35,93.03,A+,Exceptional
136,9.03,14.12,4.3,4.56,4.5,8.98,9.58,36,91.07,A+,Exceptional
137,3.34,11.45,3.45,3.56,2.01,5.01,7.23,38,74.05,B+,Distinction
138,9.67,5.01,4.12,4.45,3.78,8.12,9.01,30,74.16,B+,Distinction
139,5.21,13.23,2.32,2.32,4.01,6.56,6.89,23,63.54,B-,Pass 
140,6.23,7.34,3.98,3.98,2.32,9.56,8.56,28,69.97,B,Distinction
141,6.23,10.21,3.12,3.89,2.78,4.56,5.67,23,59.46,C+,Pass
142,4.89,6.45,2.45,4.12,4.23,8.23,8.23,34,72.6,B+,Distinction
143,8.45,13.78,4.01,3.45,3.56,7.12,7.12,35,82.49,A,Excellent
144,3.67,4.89,3.56,4.01,2.98,6.45,6.45,29,61.01,B-,Pass 
145,9.12,11.34,2.98,3.56,3.45,9.01,9.01,37,85.47,A,Excellent
146,5.32,8.56,3.23,4.23,4.01,5.34,5.34,22,58.03,C+,Pass
147,7.89,5.32,4.32,3.78,2.32,8.9,8.9,32,73.43,B+,Distinction
148,4.56,3.67,2.76,4.32,3.67,4.76,4.76,21,49.5,C-,Pass
149,8.01,14.23,3.45,3.67,4.12,6.89,6.89,22,69.26,B,Distinction
150,3.78,6.78,4.56,4.56,2.89,4.56,4.56,20,51.69,C,Pass
151,6.45,12.09,2.1,3.21,3.01,7.12,9.34,35,78.32,A-,Distinction
152,4.32,7.56,3.78,4.45,4.45,5.34,5.01,33,67.91,B,Distinction
153,9.01,4.12,4.01,3.12,2.54,8.9,7.89,31,70.59,B+,Distinction
154,5.67,9.45,2.32,4.09,3.89,6.01,4.32,36,71.75,B+,Distinction
155,7.34,5.67,3.67,3.23,4.23,4.76,6.78,35,70.68,B+,Distinction
156,3.23,13.01,4.12,4.65,2.65,9.45,4.89,36,78,A-,Distinction
157,6.78,8.9,2.89,3.34,3.34,5.67,9.45,31,71.37,B+,Distinction
158,4.01,6.01,3.01,4.01,4.01,7.89,5.23,36,70.17,B+,Distinction
159,8.9,14.45,4.45,3.98,2.43,6.23,7.56,37,85,A,Excellent
160,5.21,7.12,2.54,4.21,3.56,4.32,4.12,32,63.08,B-,Pass 
161,7.56,11.23,3.89,3.45,4.32,9.56,8.45,31,79.46,A-,Distinction
162,3.12,5.98,4.23,4.32,2.21,5.98,6.01,34,65.85,B,Distinction
163,9.45,12.54,2.65,3.12,3.12,7.21,4.23,37,79.32,A-,Distinction
164,5.98,9.01,3.34,4.78,4.09,4.1,9.12,34,74.42,B+,Distinction
165,7.01,7.89,4.01,3.01,2.87,8.09,5.78,36,74.66,B+,Distinction
166,3.45,3.23,2.43,4.89,3.01,6.78,7.67,39,70.46,B+,Distinction
167,8.67,13.56,3.56,3.9,4.56,4.45,4.45,30,73.15,B+,Distinction
168,4.78,6.23,4.32,4.32,2.98,9.34,8.56,32,72.53,B+,Distinction
169,7.23,10.78,2.21,3.12,3.45,5.12,6.23,36,74.14,B+,Distinction
170,3.56,4.56,3.12,4.56,4.01,7.56,4.1,34,65.47,B,Distinction
171,9.34,12.9,4.09,3.45,2.32,4.01,9.56,33,78.67,A-,Distinction
172,5.43,8.34,2.87,4.09,3.78,8.23,5.89,31,69.63,B,Distinction
173,6.56,5.21,3.01,3.67,4.23,6.45,7.34,30,66.47,B,Distinction
174,3.89,14.67,4.56,4.01,2.76,4.89,4.01,38,76.79,A-,Distinction
175,8.12,7.34,2.98,3.56,3.56,9.12,8.78,36,79.46,A-,Distinction
176,4.21,11.45,3.45,4.45,4.45,5.43,6.67,37,77.11,A-,Distinction
177,7.78,4.01,4.01,3.21,2.1,7.67,4.98,35,68.76,B,Distinction
178,3.01,9.67,2.32,4.12,3.67,4.56,9.67,33,70.02,B+,Distinction
179,9.56,5.78,3.78,3.78,4.12,8.78,5.45,30,71.25,B+,Distinction
180,5.12,13.12,4.23,4.23,2.76,6.01,7.23,34,76.7,A-,Distinction
181,6.89,6.89,2.76,3.89,3.56,4.23,4.34,38,70.56,B+,Distinction
182,6.78,8.56,3.45,4.23,2.45,8.23,8.56,32,74.26,B+,Distinction
183,4.56,7.89,2.76,3.67,3.12,6.45,7.89,33,69.34,B,Distinction
184,8.23,11.23,4.01,3.12,4.01,5.67,5.23,35,76.5,A-,Distinction
185,7.12,10.12,3.12,4.01,1.89,9.01,6.78,25,67.05,B,Distinction
186,5.34,5.67,2.32,3.56,2.34,7.89,9.01,29,65.13,B,Distinction
187,9.01,9.45,4.56,4.32,3.78,6.78,6.45,33,77.35,A-,Distinction
188,5.67,12.34,3.01,3.78,1.56,4.56,4.9,35,70.82,B+,Distinction
189,8.9,6.78,2.89,4.45,4.23,9.45,8.12,37,81.82,A,Excellent
190,4.76,14.56,4.23,3.89,2.67,8.9,5.67,33,77.68,A-,Distinction
191,6.89,4.78,3.67,4.56,3.45,5.34,7.34,36,72.03,B+,Distinction
192,4.56,8.9,2.54,3.21,1.23,7.12,6.01,34,67.57,B,Distinction
193,7.12,13.21,4.12,4.01,2.98,6.01,4.56,33,75.01,A-,Distinction
194,5.34,5.43,3.56,3.12,4.56,4.76,9.45,37,73.22,B+,Distinction
195,8.9,10.89,2.43,4.09,1.78,9.12,7.12,36,80.33,A,Excellent
196,6.01,6.12,4.32,3.23,2.1,5.98,5.78,34,67.54,B,Distinction
197,8.56,5.45,2.98,4.23,2.98,5.56,6.56,7,43.32,D+,Fail
198,6.56,7.45,2.98,4.23,2.98,7.56,6.78,6,44.54,D+,Fail
199,5.56,5.45,4.98,3.23,4.98,5.56,6.56,7,43.32,D+,Fail
200,5.56,5.45,3.98,4.79,3.98,6.56,7.56,6,43.88,D+,Fail
201,7.56,5.45,2.98,4.23,3.98,6.56,6.89,5,42.65,D+,Fail
202,4.76,11.78,2.1,4.65,3.56,7.34,8.23,31,73.42,B+,Distinction
203,9.45,7.01,3.78,3.34,4.01,4.32,6.56,29,67.47,B,Distinction
204,5.23,14.01,4.01,4.01,1.32,8.56,4.89,34,76.03,A-,Distinction
205,7.56,5.32,2.98,3.98,2.89,6.23,9.12,30,68.08,B,Distinction
206,4.12,12.45,3.23,4.21,3.01,4.89,7.56,35,74.47,B+,Distinction
207,8.45,8.23,4.45,3.45,4.45,9.34,5.34,34,77.71,A-,Distinction
208,9.56,13.56,4.56,4.23,4.01,8.34,9.56,39,92.82,A+,Exceptional
209,9.57,12.56,4.3,4.23,4.5,8.34,9.56,37,90.06,A+,Exceptional
210,9.56,13.56,4.78,3.23,4.01,8.34,8.56,39,91.04,A+,Exceptional
211,8.56,14.56,4.56,4.23,4.5,8.34,8.56,38,91.31,A+,Exceptional
212,9.56,12.56,4.8,4.23,4.89,7.34,9.56,38,90.94,A+,Exceptional
213,6.01,13.56,2.65,4.32,1.98,7.56,8.9,37,81.98,A,Excellent
214,4.23,6.45,3.34,3.12,2.43,6.67,6.23,35,67.47,B,Distinction
215,9.12,11.34,4.56,4.78,3.67,4.01,4.01,29,70.49,B+,Distinction
216,5.78,9.67,2.21,3.01,4.12,8.45,9.67,33,75.91,A-,Distinction
217,7.67,14.12,3.89,4.89,1.45,5.21,7.01,36,80.24,A,Excellent
218,4.45,4.56,4.23,3.9,2.76,7.67,5.45,37,70.02,B+,Distinction
219,8.56,10.34,2.87,4.32,3.23,6.12,8.34,36,79.78,A-,Distinction
220,6.23,7.56,3.56,3.12,4.32,4.45,6.89,34,70.13,B+,Distinction
221,4.1,12.78,4.32,4.56,1.67,8.78,4.32,37,77.53,A-,Distinction
222,9.56,5.89,2.01,3.45,2.21,5.12,9.23,32,69.47,B,Distinction
223,5.89,9.01,3.12,4.09,3.89,7.23,7.78,21,62.01,B-,Pass 
224,7.34,13.45,4.09,3.67,4.01,4.1,5.01,27,68.67,B,Distinction
225,4.01,6.23,2.98,4.01,1.1,9.89,8.45,29,65.67,B,Distinction
226,8.78,11.9,3.45,3.56,2.54,8.01,6.34,30,74.58,B+,Distinction
227,8.56,12.56,4.56,4.23,4.01,8.34,9.56,39,90.82,A+,Exceptional
228,9.56,13.56,4.56,4.23,4.01,8.34,9.56,39,92.82,A+,Exceptional
229,9.57,12.56,4.3,4.23,4.5,8.34,9.56,37,90.06,A+,Exceptional
230,9.56,12.56,4.56,3.23,4.01,8.34,9.56,39,90.82,A+,Exceptional
231,8.56,12.56,4.56,4.23,4.5,8.34,9.56,38,90.31,A+,Exceptional
232,9.56,12.56,4.8,4.23,4.01,7.34,9.56,39,91.06,A+,Exceptional
233,8.92,12.56,4.74,4.23,4.01,8.34,8.56,39,90.36,A+,Exceptional
234,9.56,13.56,4.56,4.23,4.01,7.34,9.56,39,91.82,A+,Exceptional
235,8.78,14.56,4.56,4.23,4.01,8.34,9.56,39,93.04,A+,Exceptional
236,9.56,12.56,4.56,4.79,4.01,8.34,9.56,39,92.38,A+,Exceptional
237,8.56,12.56,4.56,4.23,4.01,8.7,9.56,39,91.18,A+,Exceptional
238,6.67,8.01,4.01,4.45,3.34,5.43,4.45,34,70.36,B+,Distinction
239,4.98,14.67,2.32,3.21,4.56,7.01,9.56,34,80.31,A,Excellent
240,9.67,7.34,3.78,4.12,1.78,6.34,7.23,32,72.26,B+,Distinction
241,5.45,12.01,4.23,3.78,2.32,4.23,5.89,25,62.91,B-,Pass 
242,7.23,5.21,2.76,4.23,3.56,9.56,8.67,34,75.22,A-,Distinction
243,4.34,10.45,3.56,3.89,4.01,5.65,6.12,30,68.02,B,Distinction
244,4.56,7.89,3.45,4.23,2.45,8.23,8.76,39.5,79.07,A-,Distinction
245,8.23,5.12,2.76,3.67,3.12,6.45,6.89,36,72.24,B+,Distinction
246,7.12,11.45,4.01,3.12,4.01,5.67,7.45,22,64.83,B-,Pass 
247,6.45,9.67,3.12,4.01,1.89,9.01,5.78,33,72.93,B+,Distinction
248,9.01,4.23,2.32,3.56,2.34,7.89,9.23,32,70.58,B+,Distinction
249,5.34,12.56,4.56,4.32,3.78,6.78,6.34,34,77.68,A-,Distinction
250,8.9,6.78,3.01,3.78,1.56,4.56,8.01,35,71.6,B+,Distinction
251,8.99,12.56,4.74,4.23,4.67,8.34,8.56,39,91.09,A+,Exceptional
252,9.23,13.56,4.44,4.23,4.77,7.34,8.56,38,90.13,A+,Exceptional
253,8.75,14.99,4.56,3.99,4.01,9.34,9.56,37,92.2,A+,Exceptional
254,9.31,12.67,4.56,4.79,3.99,8.34,9.56,39,92.22,A+,Exceptional
255,8.44,13.78,4.56,4.23,4.01,8.7,9.56,38,91.28,A+,Exceptional
256,8.42,12.78,4.56,4.89,4.9,8.69,9.8,37,91.04,A+,Exceptional
257,4.76,14.23,2.89,4.45,4.23,9.45,5.56,31,76.57,A-,Distinction
258,6.89,5.43,4.23,3.89,2.67,8.9,7.12,30,69.13,B,Distinction
259,4.56,8.9,3.67,4.56,3.45,5.34,6.67,35,72.15,B+,Distinction
260,7.12,13.01,2.54,3.21,1.23,7.12,5.34,36,75.57,A-,Distinction
261,5.34,6.01,4.12,4.01,2.98,6.01,8.9,33,70.37,B+,Distinction
262,8.9,4.89,3.56,3.12,4.56,4.76,6.23,29,65.02,B,Distinction
263,6.01,10.34,2.43,4.09,1.78,9.12,7.89,31,72.66,B+,Distinction
264,4.76,7.12,4.32,3.23,2.1,5.98,5.45,35,67.96,B,Distinction
265,9.45,13.56,2.1,4.65,3.56,7.34,9.01,37,86.67,A,Excellent
266,5.67,8.45,3.78,3.34,4.01,4.32,7.56,30,67.13,B,Distinction
267,7.89,6.56,4.01,4.01,1.32,8.56,6.78,33,72.13,B+,Distinction
268,6.23,14.12,2.98,3.98,2.89,6.23,5.01,36,77.44,A-,Distinction
269,4.32,3.67,3.23,4.21,3.01,4.89,8.45,33.5,65.28,B,Distinction
270,9.56,9.01,4.45,3.45,4.45,9.34,6.01,31.5,77.77,A-,Distinction
271,5.98,11.78,2.65,4.32,1.98,7.56,7.23,32.5,74,B+,Distinction
272,7.21,4.56,3.34,3.12,2.43,6.67,5.89,38,71.22,B+,Distinction
273,4.1,12.23,4.56,4.78,3.67,4.01,9.56,30,72.91,B+,Distinction
274,8.09,7.34,2.21,3.01,4.12,8.45,6.45,33,72.67,B+,Distinction
275,6.78,5.78,3.89,4.89,1.45,5.21,8.34,35,71.34,B+,Distinction
276,4.45,10.45,4.23,3.9,2.76,7.67,5.12,36,74.58,B+,Distinction
277,9.34,3.45,2.87,4.32,3.23,6.12,7.67,38,75,A-,Distinction
278,6.5,14,4.5,4.7,4.9,9.1,9.11,38,90.81,A+,Exceptional
279,5.5,15,4.98,4.291,4.5,9.17,9.13,39,91.571,A+,Exceptional
280,5.59,13,4.6,4.98,4.5,9.1,9.98,39,90.75,A+,Exceptional
281,5.5,15,4.97,4.97,4.91,9.1,9.18,39,92.63,A+,Exceptional
282,5.12,13.34,3.56,3.12,4.32,4.45,6.12,37,77.03,A-,Distinction
283,7.56,6.23,4.32,4.56,1.67,8.78,8.56,34,75.68,A-,Distinction
284,4.01,8.56,2.01,3.45,2.21,5.12,5.67,37,68.03,B,Distinction
285,7.5,15,4.5,4.2,4.5,9.1,9.74,39,93.54,A+,Exceptional
286,8.5,14,4.79,4.89,4.46,9.1,9.19,38,92.93,A+,Exceptional
287,6.5,15,4.5,4.2,4.5,9.1,9.91,39,92.71,A+,Exceptional
288,8.23,3.78,3.12,4.09,3.89,7.23,9.12,38,77.46,A-,Distinction
289,6.45,14.45,4.09,3.67,4.01,4.1,7.01,33,76.78,A-,Distinction
290,7.5,13,4.79,4.61,4.5,9.12,9.18,39,91.7,A+,Exceptional
291,5.5,15,4.69,4.2,4.67,9.1,9.11,38,90.27,A+,Exceptional
292,5.69,14,4.5,4.87,4.54,9.17,9.15,39,90.92,A+,Exceptional
293,4.89,5.34,2.98,4.01,1.1,9.89,6.56,31,65.77,B,Distinction
294,9.12,11.12,3.45,3.56,2.54,8.01,8.23,23,69.03,B,Distinction
295,5.43,4.01,4.01,4.45,3.34,5.43,5.23,25,56.9,C+,Pass
296,7.67,12.78,2.32,3.21,4.56,7.01,9.45,22,69,B,Distinction
297,4.56,6.89,3.78,4.12,1.78,6.34,7.34,28,62.81,B-,Pass 
298,8.78,9.89,4.23,3.78,2.32,4.23,6.01,34,73.24,B+,Distinction
299,6.01,3.23,2.76,4.23,3.56,9.56,8.9,32,70.25,B+,Distinction
300,4.23,7.01,3.56,3.89,4.01,5.65,5.98,31,65.33,B,Distinction
301,6.78,7.89,3.45,2.45,4.23,8.56,6.78,34,74.14,B+,Distinction
302,4.56,5.12,2.76,3.12,3.67,7.23,7.89,33,67.35,B,Distinction
303,8.23,11.45,4.01,4.01,3.12,6.45,8.45,36,81.72,A,Excellent
304,7.12,9.67,3.12,1.89,4.01,9.78,5.56,35,76.15,A-,Distinction
305,5.34,4.23,2.32,2.34,3.56,5.67,9.23,23,55.69,C+,Pass
306,9.01,12.56,4.56,3.78,4.32,4.89,6.34,29,74.46,B+,Distinction
307,5.67,6.78,3.01,1.56,3.78,7.56,8.01,28.5,64.87,B-,Pass 
308,8.9,14.23,2.89,4.23,4.45,6.01,5.45,30,76.16,A-,Distinction
309,4.76,5.43,4.23,2.67,3.89,4.32,7.12,31,63.42,B-,Pass 
310,6.89,8.9,3.67,3.45,4.56,9.01,6.67,30,73.15,B+,Distinction
311,4.56,13.01,2.54,1.23,3.21,8.23,5.34,25,63.12,B-,Pass 
312,7.12,6.01,4.12,2.98,4.01,5.12,8.9,28,66.26,B,Distinction
313,5.34,4.89,3.56,4.56,3.12,4.76,6.23,34,66.46,B,Distinction
314,8.9,10.34,2.43,1.78,4.09,7.89,7.89,36,79.32,A-,Distinction
315,6.01,7.12,4.32,2.1,3.23,6.34,5.45,38,72.57,B+,Distinction
316,4.76,13.56,2.1,3.56,4.65,9.45,9.01,29,76.09,A-,Distinction
317,7.56,5.45,2.98,4.27,3.98,5.56,6.56,6,42.36,D+,Fail
